CG beads number:   49,  the thread number:   16
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread: 1,  step: 11000,     T: 31.0,    Energy: 80.936958 kcal/mol
thread: 3,  step: 12000,     T: 43.0,    Energy: 79.517426 kcal/mol
thread: 4,  step: 14000,     T: 49.0,    Energy: 83.585503 kcal/mol
thread: 6,  step: 13000,     T: 63.0,    Energy: 80.071869 kcal/mol
thread: 8,  step: 12000,     T: 78.0,    Energy: 74.749557 kcal/mol
thread: 5,  step: 12000,     T: 55.0,    Energy: 81.747009 kcal/mol
thread: 7,  step: 13000,     T: 71.0,    Energy: 66.603485 kcal/mol
thread: 15,  step: 13000,     T:  0.0,    Energy: 85.890541 kcal/mol
thread: 2,  step: 13000,     T: 37.0,    Energy: 74.867622 kcal/mol
thread: 13,  step: 12000,     T:120.0,    Energy: 70.257439 kcal/mol
thread: 11,  step: 16000,     T:102.0,    Energy: 71.435432 kcal/mol
thread: 0,  step: 12000,     T: 25.0,    Energy: 71.896446 kcal/mol
thread: 10,  step: 12000,     T: 94.0,    Energy: 81.973656 kcal/mol
thread: 3,  step: 13000,     T: 43.0,    Energy: 84.871468 kcal/mol
thread: 6,  step: 14000,     T: 63.0,    Energy: 69.794876 kcal/mol
thread: 9,  step: 12000,     T: 86.0,    Energy: 76.052994 kcal/mol
thread: 12,  step: 14000,     T:110.0,    Energy: 80.417603 kcal/mol
thread: 14,  step: 13000,     T:130.0,    Energy: 71.536629 kcal/mol
thread: 8,  step: 13000,     T: 78.0,    Energy: 75.384125 kcal/mol
thread: 1,  step: 12000,     T: 31.0,    Energy: 70.999283 kcal/mol
thread: 4,  step: 15000,     T: 49.0,    Energy: 89.593857 kcal/mol
thread: 15,  step: 14000,     T:  0.0,    Energy: 76.212395 kcal/mol
thread: 7,  step: 14000,     T: 71.0,    Energy: 70.963341 kcal/mol
thread: 5,  step: 13000,     T: 55.0,    Energy: 69.072121 kcal/mol
thread: 10,  step: 13000,     T: 94.0,    Energy: 80.884407 kcal/mol
thread: 2,  step: 14000,     T: 37.0,    Energy: 69.932182 kcal/mol
thread: 13,  step: 13000,     T:120.0,    Energy: 67.317596 kcal/mol
thread: 0,  step: 13000,     T: 25.0,    Energy: 79.607193 kcal/mol
thread: 11,  step: 17000,     T:102.0,    Energy: 71.309914 kcal/mol
thread: 8,  step: 14000,     T: 78.0,    Energy: 88.307877 kcal/mol
thread: 3,  step: 14000,     T: 43.0,    Energy: 78.420601 kcal/mol
thread: 15,  step: 15000,     T:  0.0,    Energy: 74.177254 kcal/mol
thread: 6,  step: 15000,     T: 63.0,    Energy: 69.836014 kcal/mol
thread: 7,  step: 15000,     T: 71.0,    Energy: 75.740067 kcal/mol
thread: 9,  step: 13000,     T: 86.0,    Energy: 80.333305 kcal/mol
thread: 12,  step: 15000,     T:110.0,    Energy: 76.088676 kcal/mol
thread: 14,  step: 14000,     T:130.0,    Energy: 75.862823 kcal/mol
thread: 1,  step: 13000,     T: 31.0,    Energy: 70.039482 kcal/mol
thread: 10,  step: 14000,     T: 94.0,    Energy: 81.928825 kcal/mol
thread: 4,  step: 16000,     T: 49.0,    Energy: 80.921936 kcal/mol
thread: 5,  step: 14000,     T: 55.0,    Energy: 82.792870 kcal/mol
thread: 8,  step: 15000,     T: 78.0,    Energy: 66.925415 kcal/mol
thread: 13,  step: 14000,     T:120.0,    Energy: 74.638184 kcal/mol
thread: 2,  step: 15000,     T: 37.0,    Energy: 79.068733 kcal/mol
thread: 0,  step: 14000,     T: 25.0,    Energy: 74.413437 kcal/mol
thread: 11,  step: 18000,     T:102.0,    Energy: 75.262405 kcal/mol
thread: 15,  step: 16000,     T:  0.0,    Energy: 71.084145 kcal/mol
thread: 7,  step: 16000,     T: 71.0,    Energy: 85.204750 kcal/mol
thread: 3,  step: 15000,     T: 43.0,    Energy: 79.679222 kcal/mol
thread: 6,  step: 16000,     T: 63.0,    Energy: 71.689980 kcal/mol
thread: 10,  step: 15000,     T: 94.0,    Energy: 71.089066 kcal/mol
thread: 9,  step: 14000,     T: 86.0,    Energy: 77.221558 kcal/mol
thread: 12,  step: 16000,     T:110.0,    Energy: 73.198723 kcal/mol
thread: 14,  step: 15000,     T:130.0,    Energy: 71.735191 kcal/mol
thread: 1,  step: 14000,     T: 31.0,    Energy: 70.154373 kcal/mol
thread: 8,  step: 16000,     T: 78.0,    Energy: 74.337242 kcal/mol
thread: 4,  step: 17000,     T: 49.0,    Energy: 77.589806 kcal/mol
thread: 2,  step: 16000,     T: 37.0,    Energy: 81.695602 kcal/mol
thread: 15,  step: 17000,     T:  0.0,    Energy: 73.034248 kcal/mol
thread: 7,  step: 17000,     T: 71.0,    Energy: 72.301796 kcal/mol
thread: 5,  step: 15000,     T: 55.0,    Energy: 79.234428 kcal/mol
thread: 13,  step: 15000,     T:120.0,    Energy: 74.253357 kcal/mol
thread: 0,  step: 15000,     T: 25.0,    Energy: 68.940315 kcal/mol
thread: 11,  step: 19000,     T:102.0,    Energy: 77.316322 kcal/mol
thread: 8,  step: 17000,     T: 78.0,    Energy: 73.146118 kcal/mol
thread: 3,  step: 16000,     T: 43.0,    Energy: 72.120193 kcal/mol
thread: 6,  step: 17000,     T: 63.0,    Energy: 71.198692 kcal/mol
thread: 2,  step: 17000,     T: 37.0,    Energy: 73.564476 kcal/mol
thread: 15,  step: 18000,     T:  0.0,    Energy: 78.896370 kcal/mol
thread: 7,  step: 18000,     T: 71.0,    Energy: 84.206665 kcal/mol
thread: 10,  step: 16000,     T: 94.0,    Energy: 78.410324 kcal/mol
thread: 9,  step: 15000,     T: 86.0,    Energy: 71.437035 kcal/mol
thread: 12,  step: 17000,     T:110.0,    Energy: 77.992371 kcal/mol
thread: 14,  step: 16000,     T:130.0,    Energy: 78.764107 kcal/mol
thread: 1,  step: 15000,     T: 31.0,    Energy: 78.421379 kcal/mol
thread: 4,  step: 18000,     T: 49.0,    Energy: 74.509323 kcal/mol
thread: 5,  step: 16000,     T: 55.0,    Energy: 81.659729 kcal/mol
thread: 13,  step: 16000,     T:120.0,    Energy: 69.744057 kcal/mol
thread: 11,  step: 20000,     T:102.0,    Energy: 77.551811 kcal/mol
thread: 0,  step: 16000,     T: 25.0,    Energy: 80.335670 kcal/mol
thread: 7,  step: 19000,     T: 71.0,    Energy: 79.004181 kcal/mol
thread: 8,  step: 18000,     T: 78.0,    Energy: 80.121948 kcal/mol
thread: 9,  step: 16000,     T: 86.0,    Energy: 79.729477 kcal/mol
thread: 15,  step: 19000,     T:  0.0,    Energy: 78.937653 kcal/mol
thread: 10,  step: 17000,     T: 94.0,    Energy: 82.556931 kcal/mol
thread: 2,  step: 18000,     T: 37.0,    Energy: 74.106094 kcal/mol
thread: 4,  step: 19000,     T: 49.0,    Energy: 74.842155 kcal/mol
thread: 3,  step: 17000,     T: 43.0,    Energy: 79.063820 kcal/mol
thread: 6,  step: 18000,     T: 63.0,    Energy: 77.185211 kcal/mol
thread: 14,  step: 17000,     T:130.0,    Energy: 73.037407 kcal/mol
thread: 12,  step: 18000,     T:110.0,    Energy: 69.828331 kcal/mol
thread: 1,  step: 16000,     T: 31.0,    Energy: 68.374138 kcal/mol
thread: 5,  step: 17000,     T: 55.0,    Energy: 81.745438 kcal/mol
thread: 13,  step: 17000,     T:120.0,    Energy: 64.311440 kcal/mol
thread: 7,  step: 20000,     T: 71.0,    Energy: 74.044258 kcal/mol
thread: 4,  step: 20000,     T: 49.0,    Energy: 69.844254 kcal/mol
thread: 11,  step: 21000,     T:102.0,    Energy: 80.887589 kcal/mol
thread: 0,  step: 17000,     T: 25.0,    Energy: 84.971626 kcal/mol
thread: 9,  step: 17000,     T: 86.0,    Energy: 86.276863 kcal/mol
thread: 3,  step: 18000,     T: 43.0,    Energy: 74.960617 kcal/mol
thread: 15,  step: 20000,     T:  0.0,    Energy: 78.927498 kcal/mol
thread: 8,  step: 19000,     T: 78.0,    Energy: 74.565964 kcal/mol
thread: 6,  step: 19000,     T: 63.0,    Energy: 64.767197 kcal/mol
thread: 2,  step: 19000,     T: 37.0,    Energy: 75.593834 kcal/mol
thread: 10,  step: 18000,     T: 94.0,    Energy: 71.474037 kcal/mol
thread: 14,  step: 18000,     T:130.0,    Energy: 69.919853 kcal/mol
thread: 12,  step: 19000,     T:110.0,    Energy: 78.441658 kcal/mol
thread: 1,  step: 17000,     T: 31.0,    Energy: 70.453880 kcal/mol
thread: 5,  step: 18000,     T: 55.0,    Energy: 71.719986 kcal/mol
thread: 4,  step: 21000,     T: 49.0,    Energy: 77.238983 kcal/mol
thread: 9,  step: 18000,     T: 86.0,    Energy: 71.595345 kcal/mol
thread: 13,  step: 18000,     T:120.0,    Energy: 79.305107 kcal/mol
thread: 7,  step: 21000,     T: 71.0,    Energy: 70.172409 kcal/mol
thread: 0,  step: 18000,     T: 25.0,    Energy: 78.774796 kcal/mol
thread: 11,  step: 22000,     T:102.0,    Energy: 73.191376 kcal/mol
thread: 2,  step: 20000,     T: 37.0,    Energy: 67.806412 kcal/mol
thread: 15,  step: 21000,     T:  0.0,    Energy: 75.683281 kcal/mol
thread: 3,  step: 19000,     T: 43.0,    Energy: 73.348633 kcal/mol
thread: 8,  step: 20000,     T: 78.0,    Energy: 79.240677 kcal/mol
thread: 6,  step: 20000,     T: 63.0,    Energy: 77.213402 kcal/mol
thread: 10,  step: 19000,     T: 94.0,    Energy: 79.354424 kcal/mol
thread: 1,  step: 18000,     T: 31.0,    Energy: 76.607971 kcal/mol
thread: 14,  step: 19000,     T:130.0,    Energy: 74.663765 kcal/mol
thread: 9,  step: 19000,     T: 86.0,    Energy: 85.206100 kcal/mol
thread: 4,  step: 22000,     T: 49.0,    Energy: 80.375877 kcal/mol
thread: 12,  step: 20000,     T:110.0,    Energy: 74.003281 kcal/mol
thread: 5,  step: 19000,     T: 55.0,    Energy: 74.753998 kcal/mol
thread: 15,  step: 22000,     T:  0.0,    Energy: 70.231926 kcal/mol
thread: 2,  step: 21000,     T: 37.0,    Energy: 76.280350 kcal/mol
thread: 7,  step: 22000,     T: 71.0,    Energy: 69.087257 kcal/mol
thread: 13,  step: 19000,     T:120.0,    Energy: 78.912384 kcal/mol
thread: 11,  step: 23000,     T:102.0,    Energy: 80.338943 kcal/mol
thread: 8,  step: 21000,     T: 78.0,    Energy: 81.860107 kcal/mol
thread: 0,  step: 19000,     T: 25.0,    Energy: 78.291000 kcal/mol
thread: 9,  step: 20000,     T: 86.0,    Energy: 73.066025 kcal/mol
thread: 3,  step: 20000,     T: 43.0,    Energy: 78.389648 kcal/mol
thread: 14,  step: 20000,     T:130.0,    Energy: 69.585434 kcal/mol
thread: 6,  step: 21000,     T: 63.0,    Energy: 62.426258 kcal/mol
thread: 1,  step: 19000,     T: 31.0,    Energy: 73.346603 kcal/mol
thread: 10,  step: 20000,     T: 94.0,    Energy: 68.181381 kcal/mol
